nama_kabupaten_kota,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar,produksi_ubi_kayu,produksi_ubi_jalar,produksi_kedelai,produksi_kacang_tanah,produksi_kacang_hijau,produktivitas_kedelai,produktivitas_kacang_tanah,produktivitas_kacang_hijau,produktivitas_ubi_kayu,produktivitas_ubi_jalar,klaster k-means,klaster fuzzy c-means,klaster agglomerative,klaster gaussian
KABUPATEN BANDUNG,-0.5695914964301974,0.4079840970934059,0.6423847776560363,-0.027941754317904247,-0.14174239825355847,-0.005456051969343387,-0.14069463297211515,-0.5642937537033283,0.3882750257435272,0.6453240363441451,0.24952606834573746,0.700958213338045,-0.023210483219524736,-0.19760545730704876,-0.5860479412629734,-0.3346442558887816,-1.7496320506966057,-1.3333031391368242,-0.7035030929535103,0.2195518717354154,1,3,0,3
KABUPATEN BANDUNG BARAT,-0.5382228747495134,0.03496427100436761,-0.2808962907886574,-0.05591615488670258,-0.34887454165964893,-0.0763211001425939,-0.3484033302561254,-0.5336937172658179,0.021861185160455095,-0.2793899368192008,0.03621513966776073,-0.2675930074123623,-0.04150418952035719,-0.3296320443792904,-0.5472856725691401,0.8900647565523654,1.1330814698475522,1.0244657555867565,1.0853705134377905,0.895737865270153,3,2,2,0
KABUPATEN BEKASI,-0.5635480005100655,-0.52923990204008,-0.5242790412839835,-0.6498734525356664,-0.4305024239804362,-0.6372286935623822,-0.4307619197563893,-0.5588088415116992,-0.5332214799002669,-0.5232673123501914,-0.537395726538255,-0.49411644014993533,-0.6494918102448153,-0.41563679775733775,-0.582147335608248,-1.2213123384449884,-0.43666637203960973,-0.38420125354894225,-1.8598088723830348,-0.8877762996401133,1,3,0,3
KABUPATEN BOGOR,-0.3298661582649703,0.44431112634375264,1.4936835538330213,-0.5844606750862374,-0.1265972522840809,-0.5786278321773644,-0.12865031656584772,-0.3330614028878014,0.4568152624204917,1.4753112122566119,0.5354154460252365,1.3264333634343288,-0.6006982929322907,-0.15244632561433177,-0.3766341751749054,0.1531151039693671,0.4699238648081787,0.4292789678615132,1.1500027977555671,0.9698538385246027,3,4,1,1
KABUPATEN CIAMIS,0.5096042035933337,0.051024290369640395,-0.3225909518836143,-0.28973204023785293,-0.13171987518552186,-0.3072886645591138,-0.13199596001203315,0.5098829970889011,0.042276717270746215,-0.3203793791078836,0.10316665508600863,-0.37080190871883045,-0.29560747822263,-0.08953544119890824,1.004911590158135,0.8870009414778794,1.0930328755822964,1.123372162611178,1.4596884927978218,0.046807559173065075,3,2,2,0
KABUPATEN CIANJUR,-0.09301867529980595,0.49643106445017837,-0.16741601035568515,2.1982267128369175,1.523110044714749,2.2279621194814765,1.5259376497451416,-0.08421959714125428,0.5246228046334651,-0.1607362880888033,0.40501892996386657,-0.24276205406838317,1.9875521333263706,1.2714433278239963,-0.16283222772527137,0.6496574003743752,0.3383917169762127,0.352851289706279,0.27657090510971655,0.29937675109026185,0,1,1,1
KABUPATEN CIREBON,3.2070178826121487,-0.5337140030690748,-0.3218042601648415,-0.5601976377769812,-0.4282195159482723,-0.5503772540503851,-0.4276950799307193,3.223759813589237,-0.5359191276995061,-0.3241056920432184,-0.5352087751236914,-0.2655164259129222,-0.570105777327858,-0.4115555536734258,3.4547357291790837,0.7331974247386894,0.8154411486652826,0.7182555156576133,-0.28920014259674304,1.6798341608284717,2,0,4,2
KABUPATEN GARUT,1.496996322734863,4.436678352007777,3.5366236110210623,1.8380389084983597,4.507594691641214,1.887619005965232,4.506459874503507,1.4942803956918311,4.422823787415453,3.554397708439991,4.4094871411194685,2.9174028782779904,2.0431748889707935,4.60256802145143,1.50345775040272,0.8410437153605913,1.0239294188108754,0.6146035992052526,0.7326509351749506,0.746947004877299,4,1,3,4
KABUPATEN INDRAMAYU,0.40369913223102466,-0.5184219264177341,-0.5223123119870516,1.7148216482815626,-0.4384090810674428,1.7421667050682172,-0.4381780960621003,0.3254167396967391,-0.522497497290946,-0.5207177298154887,-0.5259792241115807,-0.49345225415974836,2.12030511013106,-0.4200830311495671,0.4251840747245773,0.578372636308004,0.07768322097494271,0.9033303833472504,0.6072498736322132,-1.0935963374065096,0,1,2,0
KABUPATEN KARAWANG,0.2517483776677114,-0.5175204284492052,-0.5258524247215292,-0.16651478002105619,-0.3983746694790076,-0.20006054116160962,-0.3979746139837724,0.24862796901392994,-0.5207989783062399,-0.5248362862177008,-0.5234596096649425,-0.4942324726421969,-0.14938143393962444,-0.37754518630749273,0.37325726194604586,1.1235274652281875,1.1366151693415456,0.9957429353650178,-0.3480371662752954,-0.6218730193485635,3,2,2,0
KABUPATEN KUNINGAN,-0.39720796994643864,-0.11181295379758473,2.7736309802763204,-0.47585690770388767,-0.25922864088443237,-0.46123522712268683,-0.26080323269017097,-0.40840677562544503,-0.11768380593598851,2.764223244415575,-0.0768175982046257,3.5280458749669057,-0.48277805096611376,-0.251192523937275,-0.4424568955983959,0.6623211693489166,0.776570454231358,0.45225722403890406,1.2589723170842786,2.040752801392357,3,4,1,1
KABUPATEN MAJALENGKA,3.0593839108489296,-0.472445530022764,-0.18737831271954422,-0.10063808216418446,-0.2913563953858609,-0.10194704685574905,-0.2952633601858806,3.064120000853923,-0.4764043546471565,-0.1875069047031822,-0.46855419226370254,-0.05005209002400501,-0.004793170795037933,-0.2866628485364774,2.562715973514077,1.0875787016875538,0.7349513268576618,0.32088154198121344,0.8817450703350791,2.2863754921803987,2,0,4,2
KABUPATEN PANGANDARAN,0.0028139028622836248,-0.5152833779347078,-0.4990065698184083,-0.16994779103613264,-0.375267185738812,-0.35443658886562657,-0.3770643424451136,-0.017245932485571068,-0.5177016789811876,-0.49845791307019927,-0.5224209617536878,-0.4790322161559293,-0.34127994091288416,-0.3714399106047301,-0.044595118816408756,0.8692308140458612,0.31718952001225414,0.27392597501002314,-0.0743332903022824,0.2140026553161492,3,2,2,0
KABUPATEN PURWAKARTA,-0.3825309084261186,-0.17778924956843506,-0.3806094661431062,-0.5186767613108543,-0.35433124866335775,-0.5178318245189663,-0.3542582062869498,-0.37896145754406707,-0.15085488257848445,-0.3785294730724503,-0.18836074494450084,-0.40155852140899606,-0.5259165881214553,-0.34738379710199696,-0.369076751718875,0.8631031838968898,0.37451397847036455,0.9447911499281949,0.6155820154347926,0.10347743476406496,3,2,2,0
KABUPATEN SUBANG,-0.3888621898662566,-0.3626964995577918,-0.4565252170046786,-0.5614038308363323,-0.26719097865515035,-0.5601599711382749,-0.26626778365227377,-0.3850237289137625,-0.3756255615545937,-0.45540919258041035,-0.35880619381172557,-0.4515565222124706,-0.576193378917831,-0.2751822757475868,-0.3934555370609085,0.24319126715925116,0.3505633485666332,0.8938393644913711,0.903413293849609,0.0005175128555138224,3,2,2,0
KABUPATEN SUKABUMI,0.1012365507044296,0.9275140374752029,0.006246186563404064,2.954927289416801,0.7287137302054232,2.897386291720101,0.7259943017622124,0.10948440709996744,0.8278583998442335,0.0034176027993665713,1.1588111831091534,-0.11091313277541759,2.719856612916114,0.885815533163631,0.0697413844377285,0.6024746482272925,1.4464028249816083,0.5611541772274083,1.7811741763705435,0.3353268905546475,0,1,1,1
KABUPATEN SUMEDANG,-0.2659777728235772,1.1041408616795538,0.12070983164484232,0.02629054131215431,0.7692492679472602,0.06206855622267638,0.7716065740785402,-0.2617575443966214,1.095058749144178,0.11491280825925244,0.9486420719563244,-0.01098114909523352,0.05552661754824752,0.6212646463259878,-0.24742661286212772,0.8120395993221254,0.4589301330490888,0.8024258670900125,0.44447054467343305,0.44635114136026244,3,2,1,1
KABUPATEN TASIKMALAYA,-0.49447947570855955,0.587682692153485,0.1857102349084425,1.1793183219703864,0.3812105831631086,1.1751031579687323,0.3830658485282091,-0.4892370605547179,0.7603172919818019,0.1775737020929087,0.674814809402785,0.013989843463544144,1.0680152779313157,0.33438304998856594,-0.5004784047124357,0.6423042441956092,0.6250140092667644,0.8326472692363633,0.5969627041441111,0.3481419874653277,0,1,1,1
KOTA BANDUNG,-0.5695914964301974,-0.5389560468120017,-0.5232956766355176,-0.6551621451805139,-0.44759639387980976,-0.6416667066803029,-0.44743437626321314,-0.5642937537033283,-0.5429796379888727,-0.5220905819495594,-0.5418632678504848,-0.49387237180414373,-0.6517785235324193,-0.4306013593983483,-0.5860479412629734,-1.4868429782337629,-0.9781076611747765,-1.4831613315980687,-1.4115256789207737,-0.7734584491611921,1,3,0,3
KOTA BANJAR,-0.4616719264278442,-0.5220613071054986,-0.4837644177671858,-0.570775023066676,-0.4027734434922015,-0.5578216631514133,-0.4021566682915041,-0.4517087139804126,-0.5272933156007045,-0.48286623526182465,-0.5274096751495009,-0.47432689853870086,-0.5647907140107242,-0.3963587261089406,-0.4595220453378194,0.7668993905580338,-0.030683563507511925,0.7901874480390105,-0.5832688902939376,-0.40002412983874586,3,2,2,0
KOTA BEKASI,-0.5695914964301974,-0.5363851081610121,-0.5270324622996883,-0.6550693610990254,-0.4506588314839321,-0.641571265537982,-0.4502224124683677,-0.5642937537033283,-0.5407149460092645,-0.5260130166183329,-0.5411400337770489,-0.4961290037226104,-0.6517167204705921,-0.432326763401303,-0.5860479412629734,-1.2825886399347057,-2.1721054568673375,-1.4831613315980687,-1.9045650418980096,-1.5514665756264303,1,3,0,3
KOTA BOGOR,-0.5695914964301974,-0.4952500897451783,-0.4246642023943814,-0.6551621451805139,-0.4159140848480717,-0.6416667066803029,-0.416319892213689,-0.5642937537033283,-0.5017156179486595,-0.42550062823101265,-0.5026004054685691,-0.42673757222975994,-0.6517785235324193,-0.4093656178235218,-0.5860479412629734,-1.4868429782337629,-1.0876523454885627,-1.4831613315980687,-0.9540724746478518,-0.4619837261171762,1,3,0,3
KOTA CIMAHI,-0.5690159253901848,-0.5354168325651848,-0.5235906860300573,-0.6551621451805139,-0.44737367114496446,-0.6416667066803029,-0.44693252974628533,-0.5642937537033283,-0.5396159043132782,-0.5211099732823661,-0.5389358331682295,-0.49322819141607077,-0.6517785235324193,-0.429838199935503,-0.5840976384356107,-1.4868429782337629,-0.7550919597760998,-1.4831613315980687,-1.213323110231473,-0.8714280685344319,1,3,0,3
KOTA CIREBON,-0.5646991425900906,-0.5422949281769233,-0.5316542761474782,-0.6551621451805139,-0.45060315080022073,-0.6416667066803029,-0.45005513029605837,-0.5590975211007323,-0.5463766759582849,-0.5306218773541417,-0.5438161230572923,-0.4978974989494939,-0.6517785235324193,-0.43255902932477763,-0.5816597599014074,-1.4868429782337629,0.060799990059197846,0.06562308748889344,-0.40845683141355543,-1.9560403827692217,1,3,0,3
KOTA DEPOK,-0.5695914964301974,-0.5350829444286928,-0.5263441070457621,-0.6551621451805139,-0.44492372106166667,-0.6416667066803029,-0.44464634005805864,-0.5642937537033283,-0.5391163399060118,-0.5256207731514555,-0.5364926080104381,-0.49582091745005374,-0.6517785235324193,-0.4289091362416043,-0.5860479412629734,-1.4868429782337629,-1.0845112792716802,-1.4831613315980687,-0.6251157924197435,-0.93191053526241,1,3,0,3
KOTA SUKABUMI,-0.5695914964301974,-0.5397573783395829,-0.5191655451119606,-0.6551621451805139,-0.4506588314839321,-0.6416667066803029,-0.4502224124683677,-0.5642937537033283,-0.5435791152775925,-0.5181681472807859,-0.5409219546782444,-0.48913904634395566,-0.6517785235324193,-0.4326585718634096,-0.5860479412629734,-1.4868429782337629,-2.1002535671561446,-1.4831613315980687,-0.5822215540338368,-0.36119957611402076,1,3,0,3
KOTA TASIKMALAYA,-0.5658502846701158,-0.5066022863859116,-0.5108069455999998,-0.5936462991536041,-0.4075619822913745,-0.5919418715311265,-0.407063612012576,-0.5642937537033283,-0.5078103037173107,-0.5098329736096423,-0.5109145170998229,-0.4871104782895893,-0.6062914700276466,-0.39695598134073257,-0.5860479412629734,-0.6455193587799465,-0.8383302145234934,-1.4831613315980687,-0.8364217014298607,-0.7222978675691768,1,3,0,3
