id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,13,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1045,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,316,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1128,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,157,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,117,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1555,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1075,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,142,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,576,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,31,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,163,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,464,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,334,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,3,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,5,HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,122,HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,428,HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,203,HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1485,HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14,HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10,HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,90,HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2587,HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2039,HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,354,HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,550,HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,36,HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,102,HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,427,HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,28,HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,71,HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,3,HEKTAR,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,2,HEKTAR,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,26,HEKTAR,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,202,HEKTAR,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8,HEKTAR,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,175,HEKTAR,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,1113,HEKTAR,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,HEKTAR,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,964,HEKTAR,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23,HEKTAR,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1817,HEKTAR,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1631,HEKTAR,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,128,HEKTAR,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,786,HEKTAR,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,10,HEKTAR,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,83,HEKTAR,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,299,HEKTAR,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,HEKTAR,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30,HEKTAR,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,518,HEKTAR,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,42,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,229,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,102,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,822,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,107,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2307,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1690,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2736,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,550,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,164,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,68,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,255,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,636,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,114,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,45,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,68,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,103,HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,960,HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57,HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,146,HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,101,HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1773,HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1669,HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,46,HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,195,HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,248,HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,55,HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,966,HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13,HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69,HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,23,HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,113,HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,661,HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,514,HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1022,HEKTAR,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,31,HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,34,HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,129,HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,1904,HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1794,HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,182,HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,615,HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,59,HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,58,HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,186,HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,189,HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,5,HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,124,HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,109,HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,118,HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,243,HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,651,HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9,HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,132,HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,127,HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,1797,HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1666,HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,137,HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,110,HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,80,HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,121,HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,257,HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,172,HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,41,HEKTAR,2021
